num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,my_cumulative_episodes,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,23,c3958_00000,2025-11-19_12-02-24,1763550144,120.10782217979431,2762.477921485901,82492,SusudeMacBook-Pro.local,127.0.0.1,2762.477921485901,23,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60052.33,0.021,60052.271,60052.25,0,0,0,0,26.855555555555558,76.36198830409357,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,24,c3958_00000,2025-11-19_12-04-24,1763550264,120.10467886924744,2882.5826003551483,82492,SusudeMacBook-Pro.local,127.0.0.1,2882.5826003551483,24,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60052.219,0.021,60052.161,60052.14,0,0,0,0,19.95380116959064,75.97602339181287,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,25,c3958_00000,2025-11-19_12-06-24,1763550384,120.24170327186584,3002.824303627014,82492,SusudeMacBook-Pro.local,127.0.0.1,3002.824303627014,25,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60052.255,0.021,60052.198,60052.178,0,0,0,0,25.505294117647058,74.71470588235294,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,26,c3958_00000,2025-11-19_12-38-38,1763552318,1933.7767679691315,4936.601071596146,82492,SusudeMacBook-Pro.local,127.0.0.1,4936.601071596146,26,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,164943.478,0.019,164943.422,164943.402,0,0,0,0,25.60941176470588,75.37764705882353,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,27,c3958_00000,2025-11-19_12-40-38,1763552438,120.1054470539093,5056.706518650055,82492,SusudeMacBook-Pro.local,127.0.0.1,5056.706518650055,27,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,164942.915,0.021,164942.856,164942.836,0,0,0,0,23.42923976608187,76.58070175438596,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,28,c3958_00000,2025-11-19_12-42-38,1763552558,120.1106960773468,5176.817214727402,82492,SusudeMacBook-Pro.local,127.0.0.1,5176.817214727402,28,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,164942.99,0.018,164942.939,164942.921,0,0,0,0,21.176470588235293,76.25705882352942,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,29,c3958_00000,2025-11-19_12-44-38,1763552678,120.1123640537262,5296.929578781128,82492,SusudeMacBook-Pro.local,127.0.0.1,5296.929578781128,29,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,164943.065,0.021,164943.008,164942.99,0,0,0,0,29.738011695906437,76.89707602339182,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,30,c3958_00000,2025-11-19_12-46-38,1763552798,120.10907101631165,5417.03864979744,82492,SusudeMacBook-Pro.local,127.0.0.1,5417.03864979744,30,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,164945.336,0.025,164945.272,164945.255,0,0,0,0,18.342690058479533,77.29590643274852,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,31,c3958_00000,2025-11-19_12-48-39,1763552919,120.11285877227783,5537.151508569717,82492,SusudeMacBook-Pro.local,127.0.0.1,5537.151508569717,31,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,164945.623,0.024,164945.561,164945.543,0,0,0,0,18.4140350877193,78.5169590643275,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,32,c3958_00000,2025-11-19_12-50-39,1763553039,120.10272097587585,5657.254229545593,82492,SusudeMacBook-Pro.local,127.0.0.1,5657.254229545593,32,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,164944.97,0.024,164944.908,164944.89,0,0,0,0,15.085882352941178,76.5470588235294,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,33,c3958_00000,2025-11-19_12-52-39,1763553159,120.10380697250366,5777.358036518097,82492,SusudeMacBook-Pro.local,127.0.0.1,5777.358036518097,33,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,164944.758,0.023,164944.698,164944.681,0,0,0,0,17.561988304093568,76.55204678362574,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,34,c3958_00000,2025-11-19_12-54-39,1763553279,120.10516500473022,5897.463201522827,82492,SusudeMacBook-Pro.local,127.0.0.1,5897.463201522827,34,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,164944.801,0.023,164944.734,164944.712,0,0,0,0,21.899415204678366,75.85438596491227,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,35,c3958_00000,2025-11-19_12-56-39,1763553399,120.1078999042511,6017.571101427078,82492,SusudeMacBook-Pro.local,127.0.0.1,6017.571101427078,35,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,164944.511,0.025,164944.44,164944.417,0,0,0,0,19.413529411764703,74.81529411764706,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,36,c3958_00000,2025-11-19_12-58-39,1763553519,120.1118438243866,6137.682945251465,82492,SusudeMacBook-Pro.local,127.0.0.1,6137.682945251465,36,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60053.504,0.025,60053.432,60053.408,0,0,0,0,22.473684210526315,75.65730994152048,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,37,c3958_00000,2025-11-19_13-00-39,1763553639,120.10765314102173,6257.790598392487,82492,SusudeMacBook-Pro.local,127.0.0.1,6257.790598392487,37,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60053.666,0.023,60053.597,60053.572,0,0,0,0,25.230994152046783,75.4766081871345,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,38,c3958_00000,2025-11-19_13-02-39,1763553759,120.11170792579651,6377.902306318283,82492,SusudeMacBook-Pro.local,127.0.0.1,6377.902306318283,38,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60053.832,0.025,60053.76,60053.736,0,0,0,0,14.677777777777779,75.38479532163743,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,39,c3958_00000,2025-11-19_13-04-39,1763553879,120.10937905311584,6498.011685371399,82492,SusudeMacBook-Pro.local,127.0.0.1,6498.011685371399,39,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60053.757,0.022,60053.691,60053.668,0,0,0,0,15.427058823529409,75.43705882352941,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,40,c3958_00000,2025-11-19_13-06-40,1763554000,120.10280227661133,6618.11448764801,82492,SusudeMacBook-Pro.local,127.0.0.1,6618.11448764801,40,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60053.354,0.017,60053.302,60053.283,0,0,0,0,14.844444444444441,76.3046783625731,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,41,c3958_00000,2025-11-19_13-08-40,1763554120,120.10541605949402,6738.219903707504,82492,SusudeMacBook-Pro.local,127.0.0.1,6738.219903707504,41,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60053.144,0.019,60053.09,60053.069,0,0,0,0,17.064912280701755,77.50467836257309,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,42,c3958_00000,2025-11-19_13-10-40,1763554240,120.11141109466553,6858.33131480217,82492,SusudeMacBook-Pro.local,127.0.0.1,6858.33131480217,42,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60053.266,0.015,60053.221,60053.203,0,0,0,0,21.53764705882353,76.40058823529412,[],[]
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,43,c3958_00000,2025-11-19_13-12-40,1763554360,120.1274061203003,6978.45872092247,82492,SusudeMacBook-Pro.local,127.0.0.1,6978.45872092247,43,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60053.735,0.019,60053.682,60053.661,0,0,0,0,25.64502923976608,77.7169590643275,[],[]
